"Názov práce","Škola","Odkaz","Rok"
"Platforma na prepájanie otvorených dát štátnej správy","Slovenská technická univ. v Bratislave ","https://opac.crzp.sk/?fn=detailBiblioFormChildW14EII&sid=4F55101800366CEF59FCC7DB109A&seo=CRZP-detail-kniha",2022
"OTVORENÉ DÁTA A GEODÁTA V KRAJINÁCH ZÁPADNEJ EURÓPY","Prešovská univerzita v Prešove","https://opac.crzp.sk/?fn=detailBiblioFormChildC14VT9&sid=2990E1F3D3E255467C8D3159E9F3&seo=CRZP-detail-kniha",2022
"Otvorené údaje a digitálne verejné služby","Technická univerzita v Košiciach","https://opac.crzp.sk/?fn=detailBiblioFormChildQ14HKL&sid=83298E4B591633891E8CDEB92829&seo=CRZP-detail-kniha",2022
"Prepájanie otvorených dát štátnej správy","Slovenská technická univ. v Bratislave ","https://opac.crzp.sk/?fn=detailBiblioFormChildK14J8R&sid=7E432E204D1F6C32945B8D3802D8&seo=CRZP-detail-kniha",2022
"Otvorenosť verejnej správy: aktuálny stav a perspektívy ","Univerzita P.J. Šafárika v Košiciach","https://opac.crzp.sk/?fn=detailBiblioFormChildG14MEU&sid=A3900C45A119566173F9FA9915B9&seo=CRZP-detail-kniha",2022
"Využitie otvorených dát o hromadnej doprave pre vytvorenie realistického modelu mobility cestujúcich","Technická univerzita v Košiciach","https://opac.crzp.sk/?fn=detailBiblioFormChildA14MTK&sid=85CE14C1EED0152B7F31DD9735B2&seo=CRZP-detail-kniha",2022
"Dátová analýza nehôd v letectve založená na otvorených dátach","Technická univerzita v Košiciach","https://opac.crzp.sk/?fn=detailBiblioFormChildQ14NCB&sid=85CE14C1EED0152B7D31DF9735B2&seo=CRZP-detail-kniha",2022
"Otvorené dáta samosprávnych krajov v Slovenskej republike","Univerzita P.J. Šafárika v Košiciach","https://opac.crzp.sk/?fn=detailBiblioFormChildS14NR0&sid=7337784199D0E155166BE80968E8&seo=CRZP-detail-kniha",2023
"Význam otvorených dát pre verejnú správu","Univerzita P.J. Šafárika v Košiciach","https://opac.crzp.sk/?fn=detailBiblioFormChildM14Q48&sid=5F1CDE603F7696E939F19B6C99BA&seo=CRZP-detail-kniha",2023
"Aplikácia strojového učenia posilňovaním na otvorené dáta o hromadnej doprave","Technická univerzita v Košiciach","https://opac.crzp.sk/?fn=detailBiblioFormChildG14SQJ&sid=E4E659F3575B0C5BCF0E716CCD36&seo=CRZP-detail-kniha",2023
"Spracovanie otvorených dát so zameraním na chronické choroby spôsobené stravou","Slovenská technická univ. v Bratislave ","https://opac.crzp.sk/?fn=detailBiblioFormChildW14TTE&sid=2D2C61E4341E53665F6A1A3BFA9A&seo=CRZP-detail-kniha",2023
